Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
Gehenna,盖乌斯,Gehenna,蓋烏斯,Геенна,Gehenna,Gehenna,Gehenna,ゲヘナ,Géhenne,Gehenna,Gehenna,Gehenna,게헨나,Gehenna
Kivotos,基沃托斯,Kivotos,基沃托斯,Кивотос,Kivotos,Kivotos,Kivotos,キボトス,Kivotos,Kivotos,Kivotos,Kivotos,키보토스,Kivotos
PrefectTeam,风纪委员会,Prefect Team,風紀委員會,Префектская команда,Equipo de Prefectos,Equipe de Prefeitos,Präfektenteam,風紀委員会,Équipe des Préfets,Zespół Prefektów,Equipo de Prefectos,Equipe de Prefeitos,기풍위원회,Müfettiş Ekibi
PandemoniumSociety,潘多魔尼乌姆学会,Pandemonium Society,潘多魔尼烏姆學會,Общество Пандемония,Sociedad Pandemonio,Sociedade Pandemônio,Pandemonium-Gesellschaft,パンデモニウム協会,Société Pandémonium,Towarzystwo Pandemonium,Sociedad Pandemonio,Sociedade Pandemônio,판데모니움협회,Pandemonium Derneği
ProblemSolver68,便利屋68,Problem Solver 68,便利屋68,Решатель проблем 68,Solucionador de Problemas 68,Solucionador de Problemas 68,Problemlöser 68,便利屋68,Résolveur de Problèmes 68,Rozwiązywacz Problemów 68,Solucionador de Problemas 68,Solucionador de Problemas 68,편의점68,Problem Çözücü 68
GourmetResearch,美食研究会,Gourmet Research Society,美食研究會,Общество гурманских исследований,Sociedad de Investigación Gourmet,Sociedade de Pesquisa Gourmet,Gourmet-Forschungsgesellschaft,美食研究会,Société de Recherche Gourmet,Towarzystwo Badań Kulinarnych,Sociedad de Investigación Gourmet,Sociedade de Pesquisa Gourmet,미식연구회,Gurme Araştırma Derneği
EngineeringDept,工学部,Engineering Department,工學部,Инженерный департамент,Departamento de Ingeniería,Departamento de Engenharia,Ingenieurabteilung,工学部,Département d'Ingénierie,Wydział Inżynierii,Departamento de Ingeniería,Departamento de Engenharia,공학부,Mühendislik Bölümü
AcademyDistrict,学园区,Academy District,學園區,Академический район,Distrito de la Academia,Distrito da Academia,Akademieviertel,アカデミー地区,District de l'Académie,Dzielnica Akademii,Distrito de la Academia,Distrito da Academia,학원지구,Akademi Bölgesi
ChaosZone,混沌地带,Chaos Zone,混沌地帶,Зона хаоса,Zona del Caos,Zona do Caos,Chaoszone,カオスゾーン,Zone du Chaos,Strefa Chaosu,Zona del Caos,Zona do Caos,카오스지대,Kaos Bölgesi
FreedomTerritory,自由领地,Freedom Territory,自由領地,Территория свободы,Territorio de la Libertad,Território da Liberdade,Freiheitsgebiet,フリーダムテリトリー,Territoire de la Liberté,Terytorium Wolności,Territorio de la Libertad,Território da Liberdade,자유영토,Özgürlük Bölgesi
BlackMarketDistrict,黑市区,Black Market District,黑市區,Район чёрного рынка,Distrito del Mercado Negro,Distrito do Mercado Negro,Schwarzmarktviertel,ブラックマーケット地区,District du Marché Noir,Dzielnica Czarnego Rynku,Distrito del Mercado Negro,Distrito do Mercado Negro,암시장지구,Kara Pazar Bölgesi
IndustrialSector,工业区域,Industrial Sector,工業區域,Промышленный сектор,Sector Industrial,Setor Industrial,Industriesektor,工業セクター,Secteur Industriel,Sektor Przemysłowy,Sector Industrial,Setor Industrial,공업구역,Sanayi Sektörü
RebelTerritory,反叛领地,Rebel Territory,反叛領地,Территория бунтарей,Territorio Rebelde,Território Rebelde,Rebellengebiet,レベルテリトリー,Territoire Rebelle,Terytorium Buntowników,Territorio Rebelde,Território Rebelde,반항영토,İsyancı Bölgesi
SorasakiDistrict,空崎区,Sorasaki District,空崎區,Район Сорасаки,Distrito Sorasaki,Distrito Sorasaki,Sorasaki-Viertel,ソラサキ地区,District Sorasaki,Dzielnica Sorasaki,Distrito Sorasaki,Distrito Sorasaki,소라사키지구,Sorasaki Bölgesi
RikuhachimaZone,陆八魔地带,Rikuhachima Zone,陸八魔地帶,Зона Рикухачима,Zona Rikuhachima,Zona Rikuhachima,Rikuhachima-Zone,リクハチマゾーン,Zone Rikuhachima,Strefa Rikuhachima,Zona Rikuhachima,Zona Rikuhachima,리쿠하치마지대,Rikuhachima Bölgesi
KurosakiLands,黑崎领地,Kurosaki Lands,黑崎領地,Земли Куросаки,Tierras Kurosaki,Terras Kurosaki,Kurosaki-Ländereien,クロサキランド,Terres Kurosaki,Ziemie Kurosaki,Tierras Kurosaki,Terras Kurosaki,쿠로사키영토,Kurosaki Toprakları
TsurugiRegion,剑域,Tsurugi Region,劍域,Регион Цуруги,Región Tsurugi,Região Tsurugi,Tsurugi-Region,ツルギ地方,Région Tsurugi,Region Tsurugi,Región Tsurugi,Região Tsurugi,츠루기지역,Tsurugi Bölgesi
AcademyTowerDistrict,学院塔区,Academy Tower District,學院塔區,Район башни академии,Distrito de la Torre de la Academia,Distrito da Torre da Academia,Akademieturm-Viertel,アカデミータワー地区,District de la Tour de l'Académie,Dzielnica Wieży Akademii,Distrito de la Torre de la Academia,Distrito da Torre da Academia,학원타워지구,Akademi Kulesi Bölgesi
CentralGehenna,中央盖乌斯,Central Gehenna,中央蓋烏斯,Центральная Геенна,Gehenna Central,Gehenna Central,Zentral-Gehenna,中央ゲヘナ,Géhenne Centrale,Centralna Gehenna,Gehenna Central,Gehenna Central,중앙게헨나,Merkezi Gehenna
OuterGehenna,外围盖乌斯,Outer Gehenna,外圍蓋烏斯,Внешняя Геенна,Gehenna Exterior,Gehenna Exterior,Außen-Gehenna,外郭ゲヘナ,Géhenne Extérieure,Zewnętrzna Gehenna,Gehenna Exterior,Gehenna Exterior,외곽게헨나,Dış Gehenna
DowntownGehenna,市中心盖乌斯,Downtown Gehenna,市中心蓋烏斯,Центр Геенны,Centro de Gehenna,Centro de Gehenna,Gehenna-Zentrum,ダウンタウンゲヘナ,Centre-ville de Géhenne,Centrum Gehenny,Centro de Gehenna,Centro de Gehenna,도심게헨나,Gehenna Şehir Merkezi
