Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugul,Korean,Turkish
Trinity,三一,Trinity,三一,Тринити,Trinity,Trinity,Trinity,トリニティ,Trinity,Trinity,Trinity,Trinity,트리니티,Trinity
Kivotos,基沃托斯,Kivotos,基沃托斯,Кивотос,Kivotos,Kivotos,Kivotos,キボトス,Kivotos,Kivotos,Kivotos,Kivotos,키보토스,Kivotos
TeaParty,茶会,Tea Party,茶會,Чаепитие,Fiesta del Té,Festa do Chá,Tee-Party,ティーパーティー,Fête du Thé,Herbatka,Fiesta del Té,Festa do Chá,티파티,Çay Partisi
JusticeTF,正义实现委员会,Justice Task Force,正義實現委員會,Оперативная группа правосудия,Grupo de Trabajo de Justicia,Força-Tarefa da Justiça,Justiz-Einsatzgruppe,正義実現委員会,Groupe de Travail Justice,Grupa Zadaniowa Sprawiedliwości,Grupo de Trabajo de Justicia,Força-Tarefa da Justiça,정의실현위원회,Adalet Görev Gücü
SisterHood,修女会,Sisterhood,修女會,Сестринство,Hermandad,Irmandade,Schwesternschaft,シスターフッド,Sororité,Siostrzeństwo,Hermandad,Irmandade,시스터후드,Kızkardeşlik
AriusSquad,阿里乌斯小队,Arius Squad,阿里烏斯小隊,Отряд Ариус,Escuadrón Arius,Esquadrão Arius,Arius-Squad,アリウス分隊,Escouade Arius,Oddział Arius,Escuadrón Arius,Esquadrão Arius,아리우스분대,Arius Timi
TrinityHQ,三一总部,Trinity Headquarters,三一總部,Штаб-квартира Тринити,Cuartel General de Trinity,Quartel-General de Trinity,Trinity-Zentrale,トリニティ本部,Quartier Général de Trinity,Kwatera Główna Trinity,Cuartel General de Trinity,Quartel-General de Trinity,트리니티본부,Trinity Karargahı
CathedralDistrict,大教堂区,Cathedral District,大教堂區,Кафедральный район,Distrito de la Catedral,Distrito da Catedral,Kathedralenviertel,大聖堂地区,District de la Cathédrale,Dzielnica Katedralna,Distrito de la Catedral,Distrito da Catedral,대성당지구,Katedral Bölgesi
MainCathedral,主教堂,Main Cathedral,主教堂,Главный собор,Catedral Principal,Catedral Principal,Hauptkathedrale,大聖堂,Cathédrale Principale,Główna Katedra,Catedral Principal,Catedral Principal,주교당,Ana Katedral
ChapelBuilding,礼拜堂,Chapel Building,禮拜堂,Часовня,Edificio de Capilla,Edifício da Capela,Kapellengebäude,礼拝堂,Bâtiment de Chapelle,Budynek Kaplicy,Edificio de Capilla,Edifício da Capela,예배당,Şapel Binası
