Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
PrefectTeam,风纪委员会,Prefect Team,風紀委員會,Префектская команда,Equipo de Prefectos,Equipe de Prefeitos,Präfektenteam,風紀委員会,Équipe des Préfets,Zespół Prefektów,Equipo de Prefectos,Equipe de Prefeitos,기풍위원회,Müfettiş Ekibi
ProblemSolver68,便利屋68,Problem Solver 68,便利屋68,Решатель проблем 68,Solucionador de Problemas 68,Solucionador de Problemas 68,Problemlöser 68,便利屋68,Résolveur de Problèmes 68,Rozwiązywacz Problemów 68,Solucionador de Problemas 68,Solucionador de Problemas 68,편의점68,Problem Çözücü 68
PandemoniumSociety,潘多魔尼乌姆学会,Pandemonium Society,潘多魔尼烏姆學會,Общество Пандемония,Sociedad Pandemonio,Sociedade Pandemônio,Pandemonium-Gesellschaft,パンデモニウム協会,Société Pandémonium,Towarzystwo Pandemonium,Sociedad Pandemonio,Sociedade Pandemônio,판데모니움협회,Pandemonium Derneği
EngineeringDept,工学部,Engineering Department,工學部,Инженерный департамент,Departamento de Ingeniería,Departamento de Engenharia,Ingenieurabteilung,工学部,Département d'Ingénierie,Wydział Inżynierii,Departamento de Ingeniería,Departamento de Engenharia,공학부,Mühendislik Bölümü
GourmetResearch,美食研究会,Gourmet Research Society,美食研究會,Общество гурманских исследований,Sociedad de Investigación Gourmet,Sociedade de Pesquisa Gourmet,Gourmet-Forschungsgesellschaft,美食研究会,Société de Recherche Gourmet,Towarzystwo Badań Kulinarnych,Sociedad de Investigación Gourmet,Sociedade de Pesquisa Gourmet,미식연구회,Gurme Araştırma Derneği
Sorasaki,空崎,Sorasaki,空崎,Сорасаки,Sorasaki,Sorasaki,Sorasaki,ソラサキ,Sorasaki,Sorasaki,Sorasaki,Sorasaki,소라사키,Sorasaki
Rikuhachima,陆八魔,Rikuhachima,陸八魔,Рикухачима,Rikuhachima,Rikuhachima,Rikuhachima,リクハチマ,Rikuhachima,Rikuhachima,Rikuhachima,Rikuhachima,리쿠하치마,Rikuhachima
Kurosaki,黑崎,Kurosaki,黑崎,Куросаки,Kurosaki,Kurosaki,Kurosaki,クロサキ,Kurosaki,Kurosaki,Kurosaki,Kurosaki,쿠로사키,Kurosaki
Hina,日奈,Hina,日奈,Хина,Hina,Hina,Hina,ヒナ,Hina,Hina,Hina,Hina,히나,Hina
Aru,阿露,Aru,阿露,Ару,Aru,Aru,Aru,アル,Aru,Aru,Aru,Aru,아루,Aru
Kayoko,佳代子,Kayoko,佳代子,Каёко,Kayoko,Kayoko,Kayoko,カヨコ,Kayoko,Kayoko,Kayoko,Kayoko,카요코,Kayoko
Makoto,真琴,Makoto,真琴,Макото,Makoto,Makoto,Makoto,マコト,Makoto,Makoto,Makoto,Makoto,마코토,Makoto
Junko,纯子,Junko,純子,Джюнко,Junko,Junko,Junko,ジュンコ,Junko,Junko,Junko,Junko,준코,Junko
Wakamo,若藻,Wakamo,若藻,Вакамо,Wakamo,Wakamo,Wakamo,ワカモ,Wakamo,Wakamo,Wakamo,Wakamo,와카모,Wakamo
Izuna,伊月娜,Izuna,伊月娜,Изуна,Izuna,Izuna,Izuna,イズナ,Izuna,Izuna,Izuna,Izuna,이즈나,Izuna
Gehenna,盖乌斯,Gehenna,蓋烏斯,Геенна,Gehenna,Gehenna,Gehenna,ゲヘナ,Géhenne,Gehenna,Gehenna,Gehenna,게헨나,Gehenna
BlackMarket,黑市,Black Market,黑市,Чёрный рынок,Mercado Negro,Mercado Negro,Schwarzmarkt,ブラックマーケット,Marché Noir,Czarny Rynek,Mercado Negro,Mercado Negro,암시장,Kara Pazar
MainCampus,主校区,Main Campus,主校區,Главный кампус,Campus Principal,Campus Principal,Hauptcampus,メインキャンパス,Campus Principal,Główny Kampus,Campus Principal,Campus Principal,본관,Ana Kampüs
RedDistrict,红灯区,Red District,紅燈區,Красный район,Distrito Rojo,Distrito Vermelho,Rotes Viertel,レッドディストリクト,District Rouge,Czerwona Dzielnica,Distrito Rojo,Distrito Vermelho,레드디스트릭트,Kırmızı Bölge
IndustrialZone,工业区,Industrial Zone,工業區,Промышленная зона,Zona Industrial,Zona Industrial,Industriegebiet,工業地帯,Zone Industrielle,Strefa Przemysłowa,Zona Industrial,Zona Industrial,공업지대,Sanayi Bölgesi
AcademyTower,学院塔,Academy Tower,學院塔,Башня академии,Torre de la Academia,Torre da Academia,Akademieturm,アカデミータワー,Tour de l'Académie,Wieża Akademii,Torre de la Academia,Torre da Academia,학원타워,Akademi Kulesi
ChaosDistrict,混沌区,Chaos District,混沌區,Район хаоса,Distrito del Caos,Distrito do Caos,Chaosviertel,カオスディストリクト,District du Chaos,Dzielnica Chaosu,Distrito del Caos,Distrito do Caos,카오스지구,Kaos Bölgesi
FreedomSquare,自由广场,Freedom Square,自由廣場,Площадь Свободы,Plaza de la Libertad,Praça da Liberdade,Freiheitsplatz,フリーダムスクエア,Place de la Liberté,Plac Wolności,Plaza de la Libertad,Praça da Liberdade,자유광장,Özgürlük Meydanı
RebelQuarter,反叛区,Rebel Quarter,反叛區,Квартал бунтарей,Barrio Rebelde,Bairro Rebelde,Rebellenviertel,レベルクォーター,Quartier Rebelle,Dzielnica Buntowników,Barrio Rebelde,Bairro Rebelde,반항구역,İsyancı Mahallesi
Tsurugi,剑,Tsurugi,劍,Цуруги,Tsurugi,Tsurugi,Tsurugi,ツルギ,Tsurugi,Tsurugi,Tsurugi,Tsurugi,츠루기,Tsurugi
