Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
SCHALE,夏莱,SCHALE,夏萊,ШАЛЕ,SCHALE,SCHALE,SCHALE,シャーレ,SCHALE,SCHALE,SCHALE,SCHALE,샬레,SCHALE
FederalCouncil,联邦学生会,Federal Student Council,聯邦學生會,Федеральный студенческий совет,Consejo Estudiantil Federal,Conselho Estudantil Federal,Föderaler Studentenrat,連邦生徒会,Conseil Étudiant Fédéral,Federalna Rada Studentów,Consejo Estudiantil Federal,Conselho Estudantil Federal,연방학생회,Federal Öğrenci Konseyi
SRT,特别响应队,Special Response Team,特別響應隊,Специальная оперативная группа,Equipo de Respuesta Especial,Equipe de Resposta Especial,Spezialeinsatzteam,特別対応班,Équipe de Réponse Spéciale,Specjalny Zespół Reagowania,Equipo de Respuesta Especial,Equipe de Resposta Especial,특별대응반,Özel Müdahale Ekibi
Valkyrie,女武神警察学院,Valkyrie Police Academy,女武神警察學院,Полицейская академия Валькирия,Academia de Policía Valkyrie,Academia de Polícia Valkyrie,Walküre-Polizeiakademie,ヴァルキューレ警察学校,Académie de Police Valkyrie,Akademia Policyjna Walkiria,Academia de Policía Valkyrie,Academia de Polícia Valkyrie,발키리경찰학교,Valkyrie Polis Akademisi
CouncilHeadquarters,学生会总部,Council Headquarters,學生會總部,Штаб-квартира совета,Cuartel General del Consejo,Quartel-General do Conselho,Ratszentrale,生徒会本部,Quartier Général du Conseil,Kwatera Główna Rady,Cuartel General del Consejo,Quartel-General do Conselho,학생회본부,Konsey Karargahı
ExecutiveBuilding,执行大楼,Executive Building,執行大樓,Исполнительное здание,Edificio Ejecutivo,Edifício Executivo,Exekutivgebäude,執行棟,Bâtiment Exécutif,Budynek Wykonawczy,Edificio Ejecutivo,Edifício Executivo,집행동,İdari Bina
CentralOffice,中央办公室,Central Office,中央辦公室,Центральный офис,Oficina Central,Escritório Central,Zentralbüro,中央オフィス,Bureau Central,Biuro Centralne,Oficina Central,Escritório Central,중앙사무실,Merkez Ofis
PoliceHeadquarters,警察总部,Police Headquarters,警察總部,Полицейская штаб-квартира,Cuartel General de Policía,Quartel-General da Polícia,Polizeizentrale,警察本部,Quartier Général de la Police,Komenda Główna Policji,Cuartel General de Policía,Quartel-General da Polícia,경찰본부,Polis Karargahı
TrainingFacility,训练设施,Training Facility,訓練設施,Тренировочный комплекс,Instalación de Entrenamiento,Instalação de Treinamento,Trainingseinrichtung,訓練施設,Installation d'Entraînement,Obiekt Treningowy,Instalación de Entrenamiento,Instalação de Treinamento,훈련시설,Eğitim Tesisi
OperationsCenter,作战中心,Operations Center,作戰中心,Оперативный центр,Centro de Operaciones,Centro de Operações,Operationszentrum,作戦センター,Centre d'Opérations,Centrum Operacyjne,Centro de Operaciones,Centro de Operações,작전센터,Operasyon Merkezi
CommandPost,指挥站,Command Post,指揮站,Командный пункт,Puesto de Mando,Posto de Comando,Kommandoposten,司令部,Poste de Commandement,Punkt Dowodzenia,Puesto de Mando,Posto de Comando,지휘소,Komuta Merkezi
TacticalRoom,战术室,Tactical Room,戰術室,Тактическая комната,Sala Táctica,Sala Tática,Taktikraum,戦術室,Salle Tactique,Sala Taktyczna,Sala Táctica,Sala Tática,전술실,Taktik Odası
StrategicOffice,战略办公室,Strategic Office,戰略辦公室,Стратегический офис,Oficina Estratégica,Escritório Estratégico,Strategisches Büro,戦略オフィス,Bureau Stratégique,Biuro Strategiczne,Oficina Estratégica,Escritório Estratégico,전략사무실,Stratejik Ofis
IntelligenceHQ,情报总部,Intelligence Headquarters,情報總部,Разведывательная штаб-квартира,Cuartel General de Inteligencia,Quartel-General de Inteligência,Geheimdienstzentrale,情報本部,Quartier Général du Renseignement,Kwatera Główna Wywiadu,Cuartel General de Inteligencia,Quartel-General de Inteligência,정보본부,İstihbarat Karargahı
