Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
FestivalOps,祭典运营委员会,Hyakkiyako Allied Festival Operations Department,祭典運營委員會,Департамент организации фестивалей,Departamento de Operaciones Festivas,Departamento de Operações Festivas,Festivaloperationsabteilung,百鬼夜行連合祭典運営委員会,Département des Opérations Festives,Wydział Operacji Festiwalowych,Departamento de Operaciones Festivas,Departamento de Operações Festivas,백귀야행연합제전운영위원회,Festival Operasyonları Departmanı
NinjutsuResearch,忍术研究部,Ninjutsu Research Club,忍術研究部,Клуб исследования ниндзюцу,Club de Investigación de Ninjutsu,Clube de Pesquisa de Ninjutsu,Ninjutsu-Forschungsclub,忍術研究部,Club de Recherche en Ninjutsu,Klub Badań nad Ninjutsu,Club de Investigación de Ninjutsu,Clube de Pesquisa de Ninjutsu,인술연구부,Ninjutsu Araştırma Kulübü
Hyakkiyako,百鬼夜行,Hyakkiyako,百鬼夜行,Хяккияко,Hyakkiyako,Hyakkiyako,Hyakkiyako,百鬼夜行,Hyakkiyako,Hyakkiyako,Hyakkiyako,Hyakkiyako,백귀야행,Hyakkiyako
FoxSquad,狐小队,Fox Squad,狐小隊,Лисий отряд,Escuadrón Zorro,Esquadrão Raposa,Fuchs-Squad,狐小隊,Escouade Renard,Oddział Lisów,Escuadrón Zorro,Esquadrão Raposa,여우소대,Tilki Timi
ShrineDistrict,神社区,Shrine District,神社區,Район святилища,Distrito del Santuario,Distrito do Santuário,Schrein-Viertel,神社地区,District du Sanctuaire,Dzielnica Świątyni,Distrito del Santuario,Distrito do Santuário,신사지구,Tapınak Bölgesi
FestivalGrounds,祭典场,Festival Grounds,祭典場,Фестивальная площадка,Terrenos del Festival,Terrenos do Festival,Festivalgelände,祭典場,Terrains du Festival,Tereny Festiwalowe,Terrenos del Festival,Terrenos do Festival,제전장,Festival Alanı
MainTemple,主神殿,Main Temple,主神殿,Главный храм,Templo Principal,Templo Principal,Haupttempel,本殿,Temple Principal,Główna Świątynia,Templo Principal,Templo Principal,본전,Ana Tapınak
TokyoDistrict,东京区,Tokyo District,東京區,Токийский район,Distrito de Tokio,Distrito de Tóquio,Tokio-Viertel,東京地区,District de Tokyo,Dzielnica Tokijska,Distrito de Tokio,Distrito de Tóquio,도쿄지구,Tokyo Bölgesi
KyotoDistrict,京都区,Kyoto District,京都區,Киотский район,Distrito de Kioto,Distrito de Quioto,Kyoto-Viertel,京都地区,District de Kyoto,Dzielnica Kioto,Distrito de Kioto,Distrito de Quioto,교토지구,Kyoto Bölgesi
OsakaDistrict,大阪区,Osaka District,大阪區,Осакский район,Distrito de Osaka,Distrito de Osaka,Osaka-Viertel,大阪地区,District d'Osaka,Dzielnica Osaka,Distrito de Osaka,Distrito de Osaka,오사카지구,Osaka Bölgesi
