Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugul,Korean,Turkish
RedWinter,红冬,Red Winter,紅冬,Красная Зима,Invierno Rojo,Inverno Vermelho,Roter Winter,レッドウィンター,Hiver Rouge,Czerwona Zima,Invierno Rojo,Inverno Vermelho,레드윈터,Kızıl Kış
Kivotos,基沃托斯,Kivotos,基沃托斯,Кивотос,Kivotos,Kivotos,Kivotos,キボトス,Kivotos,Kivotos,Kivotos,Kivotos,키보토스,Kivotos
SCHALE,夏莱,SCHALE,夏萊,ШАЛЕ,SCHALE,SCHALE,SCHALE,シャーレ,SCHALE,SCHALE,SCHALE,SCHALE,샬레,SCHALE
FederalTerritory,联邦领地,Federal Territory,聯邦領地,Федеральная территория,Territorio Federal,Território Federal,Föderales Territorium,連邦領域,Territoire Fédéral,Terytorium Federalne,Territorio Federal,Território Federal,연방영토,Federal Bölge
WildHuntLands,狂猎领地,Wild Hunt Lands,狂獵領地,Земли Дикой Охоты,Tierras de Cacería Salvaje,Terras da Caça Selvagem,Wilde Jagd-Ländereien,ワイルドハント領域,Terres de Chasse Sauvage,Ziemie Dzikiego Gonu,Tierras de Cacería Salvaje,Terras da Caça Selvagem,와일드헌트영토,Vahşi Av Toprakları
Class227Region,227班地区,Class 227 Region,227班地區,Регион 227 Класса,Región de Clase 227,Região da Classe 227,227 Klassenregion,227特別学級地方,Région de Classe 227,Region Klasy 227,Región de Clase 227,Região da Classe 227,227학급지역,227 Sınıf Bölgesi
SiberianProvince,西伯利亚省,Siberian Province,西伯利亞省,Сибирская провинция,Provincia Siberiana,Província Siberiana,Sibirische Provinz,シベリア県,Province Sibérienne,Prowincja Syberyjska,Provincia Siberiana,Província Siberiana,시베리아성,Sibirya Eyaleti
TundraZone,冻原区,Tundra Zone,凍原區,Тундровая зона,Zona de Tundra,Zona de Tundra,Tundrazone,ツンドラ地帯,Zone de Toundre,Strefa Tundrowa,Zona de Tundra,Zona de Tundra,툰드라지대,Tundra Bölgesi
SnowfieldRegion,雪原地区,Snowfield Region,雪原地區,Снежный регион,Región Nevada,Região Nevada,Schneefeldregion,雪原地方,Région Enneigée,Region Śnieżny,Región Nevada,Região Nevada,설원지역,Kar Tarlası Bölgesi
FrozenLands,冰冻之地,Frozen Lands,冰凍之地,Замёрзшие земли,Tierras Congeladas,Terras Congeladas,Gefrorene Ländereien,凍てついた地,Terres Gelées,Zamarznięte Ziemie,Tierras Congeladas,Terras Congeladas,얼어붙은땅,Donmuş Topraklar
BlizzardTerritory,暴风雪领地,Blizzard Territory,暴風雪領地,Территория метели,Territorio de Ventisca,Território de Nevasca,Schneesturmgebiet,吹雪領域,Territoire de Blizzard,Terytorium Zamieci,Territorio de Ventisca,Território de Nevasca,눈보라영토,Tipi Bölgesi
WinterFortressDistrict,冬季要塞区,Winter Fortress District,冬季要塞區,Район зимней крепости,Distrito de la Fortaleza Invernal,Distrito da Fortaleza de Inverno,Winterfestungsviertel,冬の要塞地区,District de la Forteresse Hivernale,Dzielnica Zimowej Fortecy,Distrito de la Fortaleza Invernal,Distrito da Fortaleza de Inverno,겨울요새지구,Kış Kalesi Bölgesi
MilitaryZone,军事区,Military Zone,軍事區,Военная зона,Zona Militar,Zona Militar,Militärzone,軍事地帯,Zone Militaire,Strefa Wojskowa,Zona Militar,Zona Militar,군사지대,Askeri Bölge
RevolutionaryLands,革命之地,Revolutionary Lands,革命之地,Революционные земли,Tierras Revolucionarias,Terras Revolucionárias,Revolutionäre Ländereien,革命の地,Terres Révolutionnaires,Rewolucyjne Ziemie,Tierras Revolucionarias,Terras Revolucionárias,혁명의땅,Devrimci Topraklar
