Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
WildHunt,狂猎,Wild Hunt,狂獵,Дикая Охота,Cacería Salvaje,Caça Selvagem,Wilde Jagd,ワイルドハント,Chasse Sauvage,Dziki Gon,Cacería Salvaje,Caça Selvagem,와일드헌트,Vahşi Av
Kivotos,基沃托斯,Kivotos,基沃托斯,Кивотос,Kivotos,Kivotos,Kivotos,キボトス,Kivotos,Kivotos,Kivotos,Kivotos,키보토스,Kivotos
ArtsAcademy,艺术学院,Arts Academy,藝術學院,Академия искусств,Academia de las Artes,Academia das Artes,Kunstakademie,芸術学院,Académie des Arts,Akademia Sztuk,Academia de las Artes,Academia das Artes,예술학원,Sanat Akademisi
GrandTheater,大剧院,Grand Theater,大劇院,Большой театр,Gran Teatro,Grande Teatro,Großes Theater,大劇場,Grand Théâtre,Wielki Teatr,Gran Teatro,Grande Teatro,대극장,Büyük Tiyatro
MusicConservatory,音乐学院,Music Conservatory,音樂學院,Музыкальная консерватория,Conservatorio de Música,Conservatório de Música,Musikkonservatorium,音楽院,Conservatoire de Musique,Konserwatorium Muzyczne,Conservatorio de Música,Conservatório de Música,음악원,Müzik Konservatuarı
ArtGallery,美术馆,Art Gallery,美術館,Художественная галерея,Galería de Arte,Galeria de Arte,Kunstgalerie,美術館,Galerie d'Art,Galeria Sztuki,Galería de Arte,Galeria de Arte,미술관,Sanat Galerisi
ConcertHall,音乐厅,Concert Hall,音樂廳,Концертный зал,Sala de Conciertos,Sala de Concertos,Konzertsaal,コンサートホール,Salle de Concert,Sala Koncertowa,Sala de Conciertos,Sala de Concertos,콘서트홀,Konser Salonu
DanceStudio,舞蹈室,Dance Studio,舞蹈室,Танцевальная студия,Estudio de Danza,Estúdio de Dança,Tanzstudio,ダンススタジオ,Studio de Danse,Studio Tańca,Estudio de Danza,Estúdio de Dança,댄스스튜디오,Dans Stüdyosu
SculptureWorkshop,雕塑工坊,Sculpture Workshop,雕塑工坊,Скульптурная мастерская,Taller de Escultura,Oficina de Escultura,Bildhauerwerkstatt,彫刻工房,Atelier de Sculpture,Pracownia Rzeźby,Taller de Escultura,Oficina de Escultura,조각공방,Heykel Atölyesi
PaintingAtelier,绘画工作室,Painting Atelier,繪畫工作室,Художественная мастерская,Taller de Pintura,Ateliê de Pintura,Maleratelier,絵画アトリエ,Atelier de Peinture,Pracownia Malarska,Taller de Pintura,Ateliê de Pintura,회화아틀리에,Resim Atölyesi
OperaHouse,歌剧院,Opera House,歌劇院,Оперный театр,Casa de Ópera,Casa de Ópera,Opernhaus,オペラハウス,Opéra,Opera,Casa de Ópera,Casa de Ópera,오페라하우스,Opera Binası
CulturalCenter,文化中心,Cultural Center,文化中心,Культурный центр,Centro Cultural,Centro Cultural,Kulturzentrum,文化センター,Centre Culturel,Centrum Kultury,Centro Cultural,Centro Cultural,문화센터,Kültür Merkezi
