Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugul,Korean,Turkish
Trinity,三一,Trinity,三一,Тринити,Trinity,Trinity,Trinity,トリニティ,Trinity,Trinity,Trinity,Trinity,트리니티,Trinity
Kivotos,基沃托斯,Kivotos,基沃托斯,Кивотос,Kivotos,Kivotos,Kivotos,キボトス,Kivotos,Kivotos,Kivotos,Kivotos,키보토스,Kivotos
SCHALE,夏莱,SCHALE,夏萊,ШАЛЕ,SCHALE,SCHALE,SCHALE,シャーレ,SCHALE,SCHALE,SCHALE,SCHALE,샬레,SCHALE
CathedralRegion,大教堂地区,Cathedral Region,大教堂地區,Кафедральный регион,Región de la Catedral,Região da Catedral,Kathedralenregion,大聖堂地方,Région de la Cathédrale,Region Katedralny,Región de la Catedral,Região da Catedral,대성당지역,Katedral Bölgesi
TeaPartyTerritory,茶会领地,Tea Party Territory,茶會領地,Территория чаепития,Territorio de la Fiesta del Té,Território da Festa do Chá,Tee-Party-Gebiet,ティーパーティー領域,Territoire de la Fête du Thé,Terytorium Herbatki,Territorio de la Fiesta del Té,Território da Festa do Chá,티파티영토,Çay Partisi Toprakları
JusticeLands,正义之地,Justice Lands,正義之地,Земли правосудия,Tierras de Justicia,Terras da Justiça,Justizländereien,正義の地,Terres de Justice,Ziemie Sprawiedliwości,Tierras de Justicia,Terras da Justiça,정의의땅,Adalet Toprakları
SisterhoodProvince,修女省,Sisterhood Province,修女省,Провинция сестринства,Provincia de la Hermandad,Província da Irmandade,Schwesternschaftsprovinz,シスターフッド県,Province de la Sororité,Prowincja Siostrzeństwa,Provincia de la Hermandad,Província da Irmandade,시스터후드성,Kızkardeşlik Eyaleti
AriusTerritory,阿里乌斯领地,Arius Territory,阿里烏斯領地,Территория Ариус,Territorio de Arius,Território de Arius,Arius-Gebiet,アリウス領域,Territoire d'Arius,Terytorium Arius,Territorio de Arius,Território de Arius,아리우스영토,Arius Bölgesi
HolyDistrict,圣域区,Holy District,聖域區,Святой район,Distrito Sagrado,Distrito Sagrado,Heiliger Bezirk,聖域地区,District Sacré,Dzielnica Święta,Distrito Sagrado,Distrito Sagrado,성역지구,Kutsal Bölge
CentralTrinity,中央三一,Central Trinity,中央三一,Центральная Тринити,Trinity Central,Trinity Central,Zentral-Trinity,中央トリニティ,Trinity Centrale,Centralna Trinity,Trinity Central,Trinity Central,중앙트리니티,Merkezi Trinity
OuterTrinity,外围三一,Outer Trinity,外圍三一,Внешняя Тринити,Trinity Exterior,Trinity Exterior,Außen-Trinity,外郭トリニティ,Trinity Extérieure,Zewnętrzna Trinity,Trinity Exterior,Trinity Exterior,외곽트리니티,Dış Trinity
SacredZone,神圣区域,Sacred Zone,神聖區域,Священная зона,Zona Sagrada,Zona Sagrada,Heilige Zone,聖なる地帯,Zone Sacrée,Strefa Święta,Zona Sagrada,Zona Sagrada,신성지대,Kutsal Bölge
PrayerLands,祈祷之地,Prayer Lands,祈禱之地,Земли молитвы,Tierras de Oración,Terras de Oração,Gebetsländereien,祈りの地,Terres de Prière,Ziemie Modlitwy,Tierras de Oración,Terras de Oração,기도의땅,Dua Toprakları
CloistersRegion,修道院地区,Cloisters Region,修道院地區,Монастырский регион,Región de Claustros,Região dos Claustros,Klosterregion,修道院地方,Région des Cloîtres,Region Klasztorny,Región de Claustros,Região dos Claustros,수도원지역,Manastır Bölgesi
ChapelProvince,礼拜堂省,Chapel Province,禮拜堂省,Провинция часовен,Provincia de Capillas,Província das Capelas,Kapellenprovinz,礼拝堂県,Province des Chapelles,Prowincja Kaplic,Provincia de Capillas,Província das Capelas,예배당성,Şapel Eyaleti
CouncilRegion,议会地区,Council Region,議會地區,Регион совета,Región del Consejo,Região do Conselho,Ratsregion,評議会地方,Région du Conseil,Region Rady,Región del Consejo,Região do Conselho,의회지역,Konsey Bölgesi
FaithDistrict,信仰区,Faith District,信仰區,Район веры,Distrito de Fe,Distrito de Fé,Glaubensviertel,信仰地区,District de Foi,Dzielnica Wiary,Distrito de Fe,Distrito de Fé,신앙지구,İnanç Bölgesi
ShadowLands,暗影之地,Shadow Lands,暗影之地,Теневые земли,Tierras de Sombra,Terras das Sombras,Schattenländereien,影の地,Terres de l'Ombre,Ziemie Cienia,Tierras de Sombra,Terras das Sombras,그림자의땅,Gölge Toprakları
SecretTerritory,秘密领地,Secret Territory,秘密領地,Секретная территория,Territorio Secreto,Território Secreto,Geheimes Territorium,秘密領域,Territoire Secret,Tajne Terytorium,Territorio Secreto,Território Secreto,비밀영토,Gizli Bölge
UndergroundRealm,地下领域,Underground Realm,地下領域,Подземное царство,Reino Subterráneo,Reino Subterrâneo,Unterirdisches Reich,地下領域,Royaume Souterrain,Podziemne Królestwo,Reino Subterráneo,Reino Subterrâneo,지하영역,Yeraltı Krallığı
GraceLands,恩典之地,Grace Lands,恩典之地,Земли милости,Tierras de Gracia,Terras da Graça,Gnadenländereien,恩寵の地,Terres de Grâce,Ziemie Łaski,Tierras de Gracia,Terras da Graça,은총의땅,Lütuf Toprakları
