Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugul,Korean,Turkish
Shanhaijing,山海经,Shanhaijing,山海經,Шаньхайцзин,Shanhaijing,Shanhaijing,Shanhaijing,山海経,Shanhaijing,Shanhaijing,Shanhaijing,Shanhaijing,산해경,Shanhaijing
Kivotos,基沃托斯,Kivotos,基沃托斯,Кивотос,Kivotos,Kivotos,Kivotos,キボトス,Kivotos,Kivotos,Kivotos,Kivotos,키보토스,Kivotos
DragonProvince,龙省,Dragon Province,龍省,Драконья провинция,Provincia del Dragón,Província do Dragão,Drachenprovinz,龍県,Province du Dragon,Prowincja Smoka,Provincia del Dragón,Província do Dragão,룡성,Ejderha Eyaleti
PhoenixRegion,凤凰地区,Phoenix Region,鳳凰地區,Регион Феникса,Región del Fénix,Região da Fênix,Phönixregion,鳳凰地方,Région du Phénix,Region Feniksa,Región del Fénix,Região da Fênix,봉황지역,Anka Bölgesi
KunlunTerritory,昆仑领地,Kunlun Territory,崑崙領地,Территория Куньлунь,Territorio Kunlun,Território Kunlun,Kunlun-Gebiet,崑崙領域,Territoire Kunlun,Terytorium Kunlun,Territorio Kunlun,Território Kunlun,곤륜영토,Kunlun Bölgesi
PenglaiLands,蓬莱之地,Penglai Lands,蓬萊之地,Земли Пэнлай,Tierras de Penglai,Terras de Penglai,Penglai-Ländereien,蓬莱の地,Terres de Penglai,Ziemie Penglai,Tierras de Penglai,Terras de Penglai,봉래지,Penglai Toprakları
JadeDistrict,玉石区,Jade District,玉石區,Нефритовый район,Distrito de Jade,Distrito de Jade,Jade-Viertel,玉石地区,District de Jade,Dzielnica Nefrytowa,Distrito de Jade,Distrito de Jade,옥석지구,Yeşim Bölgesi
CelestialZone,天界区,Celestial Zone,天界區,Небесная зона,Zona Celestial,Zona Celestial,Himmelszone,天界地帯,Zone Céleste,Strefa Niebiańska,Zona Celestial,Zona Celestial,천계지대,Göksel Bölge
CloudProvince,云省,Cloud Province,雲省,Облачная провинция,Provincia de las Nubes,Província das Nuvens,Wolkenprovinz,雲県,Province des Nuages,Prowincja Chmur,Provincia de las Nubes,Província das Nuvens,운성,Bulut Eyaleti
LotusRegion,莲花地区,Lotus Region,蓮花地區,Регион Лотоса,Región del Loto,Região de Lótus,Lotusregion,蓮花地方,Région du Lotus,Region Lotosu,Región del Loto,Região de Lótus,연화지역,Nilüfer Bölgesi
