Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
Shanhaijing,山海经,Shanhaijing,山海經,Шаньхайцзин,Shanhaijing,Shanhaijing,Shanhaijing,山海経,Shanhaijing,Shanhaijing,Shanhaijing,Shanhaijing,산해경,Shanhaijing
AcademySquad,学园特勤队,Academy Squad,學園特勤隊,Академический отряд,Escuadrón de la Academia,Esquadrão da Academia,Akademie-Squad,学園特勤隊,Escouade de l'Académie,Oddział Akademicki,Escuadrón de la Academia,Esquadrão da Academia,학원특근대,Akademi Timi
MythResearch,神话研究会,Mythological Research Society,神話研究會,Общество мифологических исследований,Sociedad de Investigación Mitológica,Sociedade de Pesquisa Mitológica,Mythologische Forschungsgesellschaft,神話研究会,Société de Recherche Mythologique,Towarzystwo Badań Mitologicznych,Sociedad de Investigación Mitológica,Sociedade de Pesquisa Mitológica,신화연구회,Mitolojik Araştırma Derneği
DragonGate,龙门,Dragon Gate,龍門,Врата Дракона,Puerta del Dragón,Porta do Dragão,Drachentor,竜門,Porte du Dragon,Smocza Brama,Puerta del Dragón,Porta do Dragão,용문,Ejderha Kapısı
PhoenixHall,凤凰殿,Phoenix Hall,鳳凰殿,Зал Феникса,Salón del Fénix,Salão da Fênix,Phönixhalle,鳳凰殿,Salle du Phénix,Sala Feniksa,Salón del Fénix,Salão da Fênix,봉황전,Anka Salonu
JadePalace,玉宫,Jade Palace,玉宮,Нефритовый дворец,Palacio de Jade,Palácio de Jade,Jadepalast,玉宮,Palais de Jade,Pałac Nefrytowy,Palacio de Jade,Palácio de Jade,옥궁,Yeşim Sarayı
KunlunPeak,昆仑峰,Kunlun Peak,崑崙峰,Пик Куньлунь,Pico Kunlun,Pico Kunlun,Kunlun-Gipfel,崑崙峰,Pic Kunlun,Szczyt Kunlun,Pico Kunlun,Pico Kunlun,곤륜봉,Kunlun Zirvesi
PenglaiIsle,蓬莱岛,Penglai Isle,蓬萊島,Остров Пэнлай,Isla Penglai,Ilha Penglai,Penglai-Insel,蓬莱島,Île Penglai,Wyspa Penglai,Isla Penglai,Ilha Penglai,봉래도,Penglai Adası
YaoChi,瑶池,Celestial Pool,瑤池,Небесный пруд,Estanque Celestial,Lago Celestial,Himmlischer Teich,瑤池,Bassin Céleste,Niebiański Staw,Estanque Celestial,Lago Celestial,요지,Göksel Göl
QilongDistrict,祈龙区,Qilong District,祈龍區,Район Цилун,Distrito Qilong,Distrito Qilong,Qilong-Viertel,祈龍地区,District Qilong,Dzielnica Qilong,Distrito Qilong,Distrito Qilong,기룡지구,Qilong Bölgesi
CloudPavilion,云阁,Cloud Pavilion,雲閣,Облачный павильон,Pabellón de las Nubes,Pavilhão das Nuvens,Wolkenpavillon,雲閣,Pavillon des Nuages,Pawilon Chmur,Pabellón de las Nubes,Pavilhão das Nuvens,운각,Bulut Köşkü
LotusGarden,莲花园,Lotus Garden,蓮花園,Лотосовый сад,Jardín del Loto,Jardim de Lótus,Lotusgarten,蓮花園,Jardin du Lotus,Ogród Lotosu,Jardín del Loto,Jardim de Lótus,연화원,Nilüfer Bahçesi
ImperialLibrary,藏经阁,Imperial Library,藏經閣,Императорская библиотека,Biblioteca Imperial,Biblioteca Imperial,Kaiserliche Bibliothek,蔵経閣,Bibliothèque Impériale,Biblioteka Cesarska,Biblioteca Imperial,Biblioteca Imperial,장경각,İmparatorluk Kütüphanesi
SilverLake,银湖,Silver Lake,銀湖,Серебряное озеро,Lago de Plata,Lago de Prata,Silbersee,銀湖,Lac d'Argent,Srebrne Jezioro,Lago de Plata,Lago de Prata,은호,Gümüş Göl
GoldenTemple,金殿,Golden Temple,金殿,Золотой храм,Templo Dorado,Templo Dourado,Goldener Tempel,金殿,Temple d'Or,Złota Świątynia,Templo Dorado,Templo Dourado,금전,Altın Tapınak
MoonBridge,月桥,Moon Bridge,月橋,Лунный мост,Puente de la Luna,Ponte da Lua,Mondbrücke,月橋,Pont de la Lune,Most Księżycowy,Puente de la Luna,Ponte da Lua,월교,Ay Köprüsü
PeachBlossom,桃花源,Peach Blossom Spring,桃花源,Персиковый цветник,Manantial de Flor de Durazno,Nascente da Flor de Pêssego,Pfirsichblütenquelle,桃花源,Source de Fleur de Pêcher,Źródło Kwiatów Brzoskwini,Manantial de Flor de Durazno,Nascente da Flor de Pêssego,도화원,Şeftali Çiçeği Kaynağı
DragonWell,龙井,Dragon Well,龍井,Колодец Дракона,Pozo del Dragón,Poço do Dragão,Drachenbrunnen,龍井,Puits du Dragon,Smocza Studnia,Pozo del Dragón,Poço do Dragão,용정,Ejderha Kuyusu
CrimsonTower,朱雀塔,Vermilion Tower,朱雀塔,Багровая башня,Torre Bermeja,Torre Vermelha,Zinnoberrote Turm,朱雀塔,Tour Vermillon,Szkarłatna Wieża,Torre Bermeja,Torre Vermelha,주작탑,Kırmızı Kule
BlackTurtle,玄武门,Black Tortoise Gate,玄武門,Врата Черной Черепахи,Puerta de la Tortuga Negra,Porta da Tartaruga Negra,Schwarzschildkrötentor,玄武門,Porte de la Tortue Noire,Brama Czarnego Żółwia,Puerta de la Tortuga Negra,Porta da Tartaruga Negra,현무문,Kara Kaplumbağa Kapısı
