Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
MilleniumCity,千禧城,Millenium City,千禧城,Миллениум Сити,Ciudad Millenium,Cidade Millenium,Millenium-Stadt,ミレニアムシティ,Ville Millenium,Miasto Millenium,Ciudad Millenium,Cidade Millenium,밀레니엄 시티,Millenium Şehri
TechnoHub,科技中心,Techno Hub,科技中心,Техно Хаб,Centro Tecnológico,Centro Tecnológico,Techno-Hub,テクノハブ,Hub Technologique,Centrum Technologiczne,Centro Tecnológico,Centro Tecnológico,테크노 허브,Techno Merkezi
InnovationPark,创新园,Innovation Park,創新園,Парк Инноваций,Parque de Innovación,Parque de Inovação,Innovationspark,イノベーションパーク,Parc de l'Innovation,Park Innowacji,Parque de Innovación,Parque de Inovação,이노베이션 파크,Yenilik Parkı
ResearchValley,研究谷,Research Valley,研究谷,Долина Исследований,Valle de Investigación,Vale de Pesquisa,Forschungs-Tal,リサーチバレー,Vallée de la Recherche,Dolina Badawcza,Valle de Investigación,Vale de Pesquisa,리서치 밸리,Araştırma Vadisi
SciencePlaza,科学广场,Science Plaza,科學廣場,Научная Площадь,Plaza de la Ciencia,Praça da Ciência,Wissenschaftsplatz,サイエンスプラザ,Place de la Science,Plac Naukowy,Plaza de la Ciencia,Praça da Ciência,사이언스 플라자,Bilim Meydanı
QuantumDistrict,量子区,Quantum District,量子區,Квантовый Район,Distrito Cuántico,Distrito Quântico,Quanten-Bezirk,クォンタム地区,Quartier Quantique,Dzielnica Kwantowa,Distrito Cuántico,Distrito Quântico,퀀텀 지구,Kuantum Bölgesi
CyberCenter,网络中心,Cyber Center,網絡中心,Кибер Центр,Centro Cibernético,Centro Cibernético,Cyber-Zentrum,サイバーセンター,Centre Cybernétique,Centrum Cybernetyczne,Centro Cibernético,Centro Cibernético,사이버 센터,Siber Merkez
DataTower,数据塔,Data Tower,數據塔,Башня Данных,Torre de Datos,Torre de Dados,Daten-Turm,データタワー,Tour de Données,Wieża Danych,Torre de Datos,Torre de Dados,데이터 타워,Veri Kulesi
TechCampus,科技校区,Tech Campus,科技校區,Техно Кампус,Campus Tecnológico,Campus Tecnológico,Techno-Campus,テックキャンパス,Campus Technologique,Kampus Technologiczny,Campus Tecnológico,Campus Tecnológico,테크 캠퍼스,Teknoloji Kampüsü
DigitalSquare,数字广场,Digital Square,數字廣場,Цифровая Площадь,Plaza Digital,Praça Digital,Digitaler Platz,デジタル広場,Place Numérique,Plac Cyfrowy,Plaza Digital,Praça Digital,디지털 광장,Dijital Meydan
