Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
RedWinter,红冬,Red Winter,紅冬,Красная Зима,Invierno Rojo,Inverno Vermelho,Roter Winter,レッドウィンター,Hiver Rouge,Czerwona Zima,Invierno Rojo,Inverno Vermelho,레드윈터,Kızıl Kış
Kivotos,基沃托斯,Kivotos,基沃托斯,Кивотос,Kivotos,Kivotos,Kivotos,キボトス,Kivotos,Kivotos,Kivotos,Kivotos,키보토스,Kivotos
WildHunt,狂猎,Wild Hunt,狂獵,Дикая Охота,Cacería Salvaje,Caça Selvagem,Wilde Jagd,ワイルドハント,Chasse Sauvage,Dziki Gon,Cacería Salvaje,Caça Selvagem,와일드헌트,Vahşi Av
Class227,227特别班,227 Special Class,227特別班,227 Специальный Класс,Clase Especial 227,Classe Especial 227,227 Spezialklasse,227特別学級,Classe Spéciale 227,Klasa Specjalna 227,Clase Especial 227,Classe Especial 227,227특별학급,227 Özel Sınıf
FederalHeadquarters,联邦总部,Federal Headquarters,聯邦總部,Федеральная штаб-квартира,Cuartel General Federal,Quartel-General Federal,Föderale Zentrale,連邦本部,Quartier Général Fédéral,Federalna Kwatera Główna,Cuartel General Federal,Quartel-General Federal,연방본부,Federal Karargah
RedSquare,红场,Red Square,紅場,Красная Площадь,Plaza Roja,Praça Vermelha,Roter Platz,赤の広場,Place Rouge,Plac Czerwony,Plaza Roja,Praça Vermelha,붉은광장,Kızıl Meydan
Kremlin,克里姆林宫,Kremlin,克里姆林宮,Кремль,Kremlin,Kremlin,Kreml,クレムリン,Kremlin,Kreml,Kremlin,Kremlin,크렘린,Kremlin
WinterPalace,冬宫,Winter Palace,冬宮,Зимний Дворец,Palacio de Invierno,Palácio de Inverno,Winterpalast,冬宮,Palais d'Hiver,Pałac Zimowy,Palacio de Invierno,Palácio de Inverno,동궁,Kış Sarayı
SnowfieldCampus,雪原校园,Snowfield Campus,雪原校園,Снежный кампус,Campus Nevado,Campus Nevado,Schneefeldcampus,雪原キャンパス,Campus Enneigé,Śnieżny Kampus,Campus Nevado,Campus Nevado,설원캠퍼스,Kar Tarlası Kampüsü
FrozenBarracks,冰冻军营,Frozen Barracks,冰凍軍營,Замёрзшие казармы,Barracones Congelados,Barracas Congeladas,Gefrorene Kasernen,凍結兵舎,Baraquements Gelés,Zamarznięte Koszary,Barracones Congelados,Barracas Congeladas,얼어붙은막사,Donmuş Kışla
TrainingGrounds,训练场,Training Grounds,訓練場,Тренировочные площадки,Terrenos de Entrenamiento,Terrenos de Treinamento,Trainingsgelände,訓練場,Terrains d'Entraînement,Tereny Treningowe,Terrenos de Entrenamiento,Terrenos de Treinamento,훈련장,Eğitim Alanı
CommandPost,指挥所,Command Post,指揮所,Командный пункт,Puesto de Mando,Posto de Comando,Kommandoposten,司令部,Poste de Commandement,Punkt Dowodzenia,Puesto de Mando,Posto de Comando,지휘소,Komuta Noktası
ArsenalBuilding,兵工厂,Arsenal Building,兵工廠,Здание арсенала,Edificio del Arsenal,Edifício do Arsenal,Arsenalgebäude,兵器庫,Bâtiment de l'Arsenal,Budynek Arsenału,Edificio del Arsenal,Edifício do Arsenal,병기고,Cephane Binası
TundraOutpost,冻原哨所,Tundra Outpost,凍原哨所,Тундровый форпост,Puesto Avanzado de Tundra,Posto Avançado da Tundra,Tundra-Außenposten,ツンドラ前哨基地,Avant-poste de Toundra,Placówka na Tundrze,Puesto Avanzado de Tundra,Posto Avançado da Tundra,툰드라전초기지,Tundra İleri Karakolu
IceWall,冰墙,Ice Wall,冰牆,Ледяная Стена,Muro de Hielo,Muro de Gelo,Eismauer,氷の壁,Mur de Glace,Lodowa Ściana,Muro de Hielo,Muro de Gelo,얼음벽,Buz Duvarı
