Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugul,Korean,Turkish
Abydos,阿比多斯,Abydos,阿比多斯,Абидос,Abydos,Abydos,Abydos,アビドス,Abydos,Abydos,Abydos,Abydos,아비도스,Abydos
Kivotos,基沃托斯,Kivotos,基沃托斯,Кивотос,Kivotos,Kivotos,Kivotos,キボトス,Kivotos,Kivotos,Kivotos,Kivotos,키보토스,Kivotos
SCHALE,夏莱,SCHALE,夏萊,ШАЛЕ,SCHALE,SCHALE,SCHALE,シャーレ,SCHALE,SCHALE,SCHALE,SCHALE,샬레,SCHALE
DesertRegion,沙漠地区,Desert Region,沙漠地區,Пустынный регион,Región del Desierto,Região do Deserto,Wüstenregion,砂漠地方,Région du Désert,Region Pustynny,Región del Desierto,Região do Deserto,사막지역,Çöl Bölgesi
WastelandTerritory,荒地领地,Wasteland Territory,荒地領地,Территория пустоши,Territorio Baldío,Território Deserto,Ödlandgebiet,荒れ地領域,Territoire Désert,Terytorium Pustkowia,Territorio Baldío,Território Deserto,황무지영토,Çorak Topraklar
ForeclosureZone,没收区,Foreclosure Zone,沒收區,Зона ареста,Zona de Embargo,Zona de Confisco,Zwangsvollstreckungszone,差し押さえ地帯,Zone de Saisie,Strefa Zajęć,Zona de Embargo,Zona de Confisco,압류지대,İpotek Bölgesi
CentralAbydos,中央阿比多斯,Central Abydos,中央阿比多斯,Центральный Абидос,Abydos Central,Abydos Central,Zentral-Abydos,中央アビドス,Abydos Centrale,Centralna Abydos,Abydos Central,Abydos Central,중앙아비도스,Merkezi Abydos
OuterAbydos,外围阿比多斯,Outer Abydos,外圍阿比多斯,Внешний Абидос,Abydos Exterior,Abydos Exterior,Außen-Abydos,外郭アビドス,Abydos Extérieure,Zewnętrzna Abydos,Abydos Exterior,Abydos Exterior,외곽아비도스,Dış Abydos
SchoolDistrict,学园区,School District,學園區,Школьный район,Distrito Escolar,Distrito Escolar,Schulviertel,学園地区,District Scolaire,Dzielnica Szkolna,Distrito Escolar,Distrito Escolar,학원지구,Okul Bölgesi
AbandonedQuarter,废弃区,Abandoned Quarter,廢棄區,Заброшенный квартал,Barrio Abandonado,Bairro Abandonado,Verlassenes Viertel,廃墟区域,Quartier Abandonné,Opuszczona Dzielnica,Barrio Abandonado,Bairro Abandonado,폐기지구,Terk Edilmiş Mahalle
SandyOutlands,沙漠外围,Sandy Outlands,沙漠外圍,Песчаные окраины,Tierras Arenosas,Terras Arenosas,Sandige Außenbezirke,砂の辺境,Confins Sableux,Piaszczyste Peryferie,Tierras Arenosas,Terras Arenosas,모래외곽,Kumlu Dış Bölgeler
OldTown,旧城区,Old Town,舊城區,Старый город,Ciudad Vieja,Cidade Velha,Altstadt,旧市街,Vieille Ville,Stare Miasto,Ciudad Vieja,Cidade Velha,구시가,Eski Şehir
CommercialRuins,商业废墟,Commercial Ruins,商業廢墟,Торговые руины,Ruinas Comerciales,Ruínas Comerciais,Handelsruinen,商業廃墟,Ruines Commerciales,Handlowe Ruiny,Ruinas Comerciales,Ruínas Comerciais,상업폐허,Ticari Harabeler
ResidentialWasteland,住宅荒地,Residential Wasteland,住宅荒地,Жилая пустошь,Yermo Residencial,Deserto Residencial,Wohnödland,住宅荒地,Désert Résidentiel,Mieszkaniowe Pustkowia,Yermo Residencial,Deserto Residencial,주거황무지,Konut Çorak Arazisi
StudentCouncilTerritory,学生会领地,Student Council Territory,學生會領地,Территория студсовета,Territorio del Consejo Estudiantil,Território do Conselho Estudantil,Schülerratsgebiet,生徒会領域,Territoire du Conseil Étudiant,Terytorium Rady Studentów,Territorio del Consejo Estudiantil,Território do Conselho Estudantil,학생회영토,Öğrenci Konseyi Toprakları
DebtCollectionLands,债务领地,Debt Collection Lands,債務領地,Земли взыскания долгов,Tierras de Cobro de Deudas,Terras de Cobrança de Dívidas,Inkassoländereien,借金取立地,Terres de Recouvrement,Ziemie Windykacji,Tierras de Cobro de Deudas,Terras de Cobrança de Dívidas,채무지,Borç Tahsilat Toprakları
SandstormZone,沙尘暴区,Sandstorm Zone,沙塵暴區,Зона песчаных бурь,Zona de Tormentas de Arena,Zona de Tempestades de Areia,Sandsturmzone,砂嵐地帯,Zone de Tempêtes de Sable,Strefa Burz Piaskowych,Zona de Tormentas de Arena,Zona de Tempestades de Areia,모래폭풍지대,Kum Fırtınası Bölgesi
SurvivalLands,生存区,Survival Lands,生存區,Земли выживания,Tierras de Supervivencia,Terras de Sobrevivência,Überlebensländereien,サバイバル地,Terres de Survie,Ziemie Przetrwania,Tierras de Supervivencia,Terras de Sobrevivência,생존지역,Hayatta Kalma Toprakları
BorderRegion,边境地区,Border Region,邊境地區,Пограничный регион,Región Fronteriza,Região Fronteiriça,Grenzregion,境界地方,Région Frontalière,Region Przygraniczny,Región Fronteriza,Região Fronteiriça,국경지역,Sınır Bölgesi
DustbowlProvince,尘暴省,Dustbowl Province,塵暴省,Провинция пылевых бурь,Provincia del Cuenco de Polvo,Província do Deserto de Poeira,Staubsturm-Provinz,砂塵県,Province du Bol de Poussière,Prowincja Pyłowych Burz,Provincia del Cuenco de Polvo,Província do Deserto de Poeira,먼지폭풍성,Toz Fırtınası Eyaleti
DilapidatedDistrict,破败区,Dilapidated District,破敗區,Ветхий район,Distrito Deteriorado,Distrito Deteriorado,Heruntergekommenes Viertel,荒廃地区,District Délabré,Zniszczona Dzielnica,Distrito Deteriorado,Distrito Deteriorado,황폐지구,Harap Bölge
