Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
Hyakkiyako,百鬼夜行,Hyakkiyako,百鬼夜行,Хяккияко,Hyakkiyako,Hyakkiyako,Hyakkiyako,百鬼夜行,Hyakkiyako,Hyakkiyako,Hyakkiyako,Hyakkiyako,백귀야행,Hyakkiyako
Kivotos,基沃托斯,Kivotos,基沃托斯,Кивотос,Kivotos,Kivotos,Kivotos,キボトス,Kivotos,Kivotos,Kivotos,Kivotos,키보토스,Kivotos
FestivalOpsTerritory,祭典运营领地,Festival Operations Territory,祭典運營領地,Территория организации фестивалей,Territorio de Operaciones Festivas,Território de Operações Festivas,Festivaloperationsgebiet,祭典運営領域,Territoire des Opérations Festives,Terytorium Operacji Festiwalowych,Territorio de Operaciones Festivas,Território de Operações Festivas,제전운영영토,Festival Operasyonları Bölgesi
NinjutsuLands,忍术领地,Ninjutsu Lands,忍術領地,Земли ниндзюцу,Tierras de Ninjutsu,Terras de Ninjutsu,Ninjutsu-Ländereien,忍術の地,Terres du Ninjutsu,Ziemie Ninjutsu,Tierras de Ninjutsu,Terras de Ninjutsu,인술영토,Ninjutsu Toprakları
ShrineRegion,神社地区,Shrine Region,神社地區,Регион святилищ,Región del Santuario,Região do Santuário,Schreinregion,神社地方,Région du Sanctuaire,Region Świątyń,Región del Santuario,Região do Santuário,신사지역,Tapınak Bölgesi
FestivalDistrict,祭典区,Festival District,祭典區,Фестивальный район,Distrito del Festival,Distrito do Festival,Festivalviertel,祭典地区,District du Festival,Dzielnica Festiwalowa,Distrito del Festival,Distrito do Festival,제전지구,Festival Bölgesi
SacredTerritory,神圣领地,Sacred Territory,神聖領地,Священная территория,Territorio Sagrado,Território Sagrado,Heiliges Gebiet,聖域,Territoire Sacré,Święte Terytorium,Territorio Sagrado,Território Sagrado,신성영토,Kutsal Bölge
MoonlightProvince,月光省,Moonlight Province,月光省,Лунная провинция,Provincia de la Luz de Luna,Província da Luz Lunar,Mondlichtprovinz,月光県,Province du Clair de Lune,Prowincja Księżycowego Światła,Provincia de la Luz de Luna,Província da Luz Lunar,월광성,Ay Işığı Eyaleti
CherryBlossomRegion,樱花地区,Cherry Blossom Region,櫻花地區,Регион цветущей сакуры,Región del Cerezo,Região das Cerejeiras,Kirschblütenregion,桜地方,Région des Cerisiers,Region Wiśni,Región del Cerezo,Região das Cerejeiras,벚꽃지역,Kiraz Çiçeği Bölgesi
BambooProvince,竹省,Bamboo Province,竹省,Бамбуковая провинция,Provincia del Bambú,Província do Bambu,Bambusprovinz,竹県,Province du Bambou,Prowincja Bambusa,Provincia del Bambú,Província do Bambu,죽성,Bambu Eyaleti
LanternDistrict,灯笼区,Lantern District,燈籠區,Район фонарей,Distrito de las Linternas,Distrito das Lanternas,Laternenviertel,提灯地区,District des Lanternes,Dzielnica Latarni,Distrito de las Linternas,Distrito das Lanternas,등롱지구,Fener Bölgesi
CastleRegion,城堡地区,Castle Region,城堡地區,Замковый регион,Región del Castillo,Região do Castelo,Burgregion,城地方,Région du Château,Region Zamkowy,Región del Castillo,Região do Castelo,성지역,Kale Bölgesi
SpiritProvince,灵省,Spirit Province,靈省,Духовная провинция,Provincia del Espíritu,Província do Espírito,Geistprovinz,霊県,Province des Esprits,Prowincja Duchów,Provincia del Espíritu,Província do Espírito,영성,Ruh Eyaleti
TraditionalZone,传统区,Traditional Zone,傳統區,Традиционная зона,Zona Tradicional,Zona Tradicional,Traditionelle Zone,伝統地帯,Zone Traditionnelle,Strefa Tradycyjna,Zona Tradicional,Zona Tradicional,전통지대,Geleneksel Bölge
CulturalHeartland,文化心脏地带,Cultural Heartland,文化心臟地帶,Культурное сердце,Corazón Cultural,Coração Cultural,Kulturelles Kernland,文化の中心地,Cœur Culturel,Serce Kulturowe,Corazón Cultural,Coração Cultural,문화중심지,Kültürel Kalp Bölge
EasternDistrict,东区,Eastern District,東區,Восточный район,Distrito del Este,Distrito Leste,Ostviertel,東地区,District Est,Dzielnica Wschodnia,Distrito del Este,Distrito Leste,동구,Doğu Bölgesi
WesternDistrict,西区,Western District,西區,Западный район,Distrito del Oeste,Distrito Oeste,Westviertel,西地区,District Ouest,Dzielnica Zachodnia,Distrito del Oeste,Distrito Oeste,서구,Batı Bölgesi
NorthernDistrict,北区,Northern District,北區,Северный район,Distrito del Norte,Distrito Norte,Nordviertel,北地区,District Nord,Dzielnica Północna,Distrito del Norte,Distrito Norte,북구,Kuzey Bölgesi
SouthernDistrict,南区,Southern District,南區,Южный район,Distrito del Sur,Distrito Sul,Südviertel,南地区,District Sud,Dzielnica Południowa,Distrito del Sur,Distrito Sul,남구,Güney Bölgesi
CentralHyakkiyako,中央百鬼夜行,Central Hyakkiyako,中央百鬼夜行,Центральная Хяккияко,Hyakkiyako Central,Hyakkiyako Central,Zentral-Hyakkiyako,中央百鬼夜行,Hyakkiyako Centrale,Centralna Hyakkiyako,Hyakkiyako Central,Hyakkiyako Central,중앙백귀야행,Merkezi Hyakkiyako
OuterHyakkiyako,外围百鬼夜行,Outer Hyakkiyako,外圍百鬼夜行,Внешняя Хяккияко,Hyakkiyako Exterior,Hyakkiyako Exterior,Außen-Hyakkiyako,外郭百鬼夜行,Hyakkiyako Extérieure,Zewnętrzna Hyakkiyako,Hyakkiyako Exterior,Hyakkiyako Exterior,외곽백귀야행,Dış Hyakkiyako
