Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugul,Korean,Turkish
SCHALE,夏莱,SCHALE,夏萊,ШАЛЕ,SCHALE,SCHALE,SCHALE,シャーレ,SCHALE,SCHALE,SCHALE,SCHALE,샬레,SCHALE
Kivotos,基沃托斯,Kivotos,基沃托斯,Кивотос,Kivotos,Kivotos,Kivotos,キボトス,Kivotos,Kivotos,Kivotos,Kivotos,키보토스,Kivotos
FederalTerritory,联邦领地,Federal Territory,聯邦領地,Федеральная территория,Territorio Federal,Território Federal,Föderales Territorium,連邦領域,Territoire Fédéral,Terytorium Federalne,Territorio Federal,Território Federal,연방영토,Federal Bölge
CentralDistrict,中央区,Central District,中央區,Центральный район,Distrito Central,Distrito Central,Zentralviertel,中央地区,District Central,Dzielnica Centralna,Distrito Central,Distrito Central,중앙지구,Merkez Bölge
CouncilRegion,学生会地区,Council Region,學生會地區,Регион совета,Región del Consejo,Região do Conselho,Ratsregion,生徒会地方,Région du Conseil,Region Rady,Región del Consejo,Região do Conselho,학생회지역,Konsey Bölgesi
ValkyrieLands,女武神之地,Valkyrie Lands,女武神之地,Земли Валькирии,Tierras de Valkyrie,Terras de Valkyrie,Walküre-Ländereien,ヴァルキューレの地,Terres de Valkyrie,Ziemie Walkirii,Tierras de Valkyrie,Terras de Valkyrie,발키리지,Valkyrie Toprakları
SRTTerritory,特别响应队领地,SRT Territory,特別響應隊領地,Территория СОГ,Territorio SRT,Território SRT,SRT-Gebiet,特別対応班領域,Territoire SRT,Terytorium SRT,Territorio SRT,Território SRT,특별대응반영토,SRT Bölgesi
ExecutiveZone,执行区,Executive Zone,執行區,Исполнительная зона,Zona Ejecutiva,Zona Executiva,Exekutivzone,執行地帯,Zone Exécutive,Strefa Wykonawcza,Zona Ejecutiva,Zona Executiva,집행지대,İdari Bölge
GovernmentLands,政府之地,Government Lands,政府之地,Правительственные земли,Tierras Gubernamentales,Terras Governamentais,Regierungsländereien,政府の地,Terres Gouvernementales,Ziemie Rządowe,Tierras Gubernamentales,Terras Governamentais,정부지,Hükümet Toprakları
AdministrativeProvince,行政省,Administrative Province,行政省,Административная провинция,Provincia Administrativa,Província Administrativa,Verwaltungsprovinz,行政県,Province Administrative,Prowincja Administracyjna,Provincia Administrativa,Província Administrativa,행정성,İdari Eyalet
LawEnforcementRegion,执法地区,Law Enforcement Region,執法地區,Регион правоохранения,Región de Aplicación de la Ley,Região de Aplicação da Lei,Strafverfolgungsregion,法執行地方,Région d'Application de la Loi,Region Egzekwowania Prawa,Región de Aplicación de la Ley,Região de Aplicação da Lei,법집행지역,Kanun Uygulama Bölgesi
SecuritySector,安全区域,Security Sector,安全區域,Сектор безопасности,Sector de Seguridad,Setor de Segurança,Sicherheitssektor,警備セクター,Secteur de Sécurité,Sektor Bezpieczeństwa,Sector de Seguridad,Setor de Segurança,안전구역,Güvenlik Sektörü
JusticeProvince,正义省,Justice Province,正義省,Провинция правосудия,Provincia de Justicia,Província da Justiça,Gerechtigkeitsprovinz,正義県,Province de Justice,Prowincja Sprawiedliwości,Provincia de Justicia,Província da Justiça,정의성,Adalet Eyaleti
CivicRegion,市民地区,Civic Region,市民地區,Гражданский регион,Región Cívica,Região Cívica,Bürgerregion,市民地方,Région Civique,Region Obywatelski,Región Cívica,Região Cívica,시민지역,Sivil Bölge
PublicSafetyZone,公共安全区,Public Safety Zone,公共安全區,Зона общественной безопасности,Zona de Seguridad Pública,Zona de Segurança Pública,Öffentliche Sicherheitszone,公共安全地帯,Zone de Sécurité Publique,Strefa Bezpieczeństwa Publicznego,Zona de Seguridad Pública,Zona de Segurança Pública,공공안전지대,Kamu Güvenliği Bölgesi
StrategicTerritory,战略领地,Strategic Territory,戰略領地,Стратегическая территория,Territorio Estratégico,Território Estratégico,Strategisches Territorium,戦略領域,Territoire Stratégique,Terytorium Strategiczne,Territorio Estratégico,Território Estratégico,전략영토,Stratejik Bölge
OperationsDistrict,作战区,Operations District,作戰區,Оперативный район,Distrito de Operaciones,Distrito de Operações,Operationsviertel,作戦地区,District d'Opérations,Dzielnica Operacyjna,Distrito de Operaciones,Distrito de Operações,작전지구,Operasyon Bölgesi
CommandRegion,指挥地区,Command Region,指揮地區,Командный регион,Región de Mando,Região de Comando,Kommandoregion,司令地方,Région de Commandement,Region Dowodzenia,Región de Mando,Região de Comando,지휘지역,Komuta Bölgesi
IntelligenceSector,情报区域,Intelligence Sector,情報區域,Разведывательный сектор,Sector de Inteligencia,Setor de Inteligência,Geheimdienstsektor,情報セクター,Secteur du Renseignement,Sektor Wywiadu,Sector de Inteligencia,Setor de Inteligência,정보구역,İstihbarat Sektörü
PeacekeepingZone,维和区,Peacekeeping Zone,維和區,Миротворческая зона,Zona de Mantenimiento de la Paz,Zona de Manutenção da Paz,Friedenssicherungszone,平和維持地帯,Zone de Maintien de la Paix,Strefa Sił Pokojowych,Zona de Mantenimiento de la Paz,Zona de Manutenção da Paz,평화유지지대,Barış Gücü Bölgesi
CoordinationTerritory,协调领地,Coordination Territory,協調領地,Координационная территория,Territorio de Coordinación,Território de Coordenação,Koordinationsgebiet,調整領域,Territoire de Coordination,Terytorium Koordynacji,Territorio de Coordinación,Território de Coordenação,조정영토,Koordinasyon Bölgesi
